key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,1.80451,Correct!,0,59,59,98,1,t2.png,t4.png,2,0.0591,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.42287,Correct!,0,60,60,46,1,t4.png,t2.png,2,0.059078,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,2.450065,Incorrect,0,61,61,41,1,t3.png,t2.png,1,0.90855,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.316275,Correct!,0,62,62,83,1,t3.png,t1.png,2,0.056466,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.020345,Correct!,0,63,63,13,1,t5.png,t5.png,0,0.97829,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.171275,Incorrect,0,64,64,100,1,t4.png,t5.png,1,0.90025,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.87254,Correct!,0,65,65,101,1,t4.png,t5.png,1,0.90025,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.769955,Correct!,0,66,66,109,1,t5.png,t5.png,0,0.97829,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.602425,Incorrect,0,67,67,56,1,t5.png,t1.png,4,9.55E-11,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.84999,Incorrect,0,68,68,16,1,t5.png,t4.png,1,0.9,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.918915,Correct!,0,69,69,88,1,t3.png,t1.png,2,0.056466,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,70,70,61,1,t1.png,t4.png,3,0.0000131,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.452335,Correct!,0,71,71,85,1,t3.png,t2.png,1,0.90855,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,72,72,102,1,t4.png,t2.png,2,0.059078,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,2.05474,Incorrect,0,73,73,47,1,t4.png,t2.png,2,0.059078,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.25165,Correct!,0,74,74,53,1,t3.png,t1.png,2,0.056466,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.600805,Correct!,0,75,75,64,1,t1.png,t1.png,0,0.978,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.33688,Incorrect,0,76,76,32,1,t4.png,t5.png,1,0.90025,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.870865,Correct!,0,77,77,57,1,t2.png,t4.png,2,0.059078,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.50427,Incorrect,0,78,78,106,1,t2.png,t3.png,1,0.90855,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.986885,Incorrect,0,79,79,24,1,t4.png,t2.png,2,0.059078,19,Female,2020-10-22_21h29.04.780,torte-q,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
